gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
COL18A1	detect	basement_membrane	Fibroblasts - Ambient reference	0.100301551368293	0.0105951456350807	961.245630394612	9.46674588749337	2.15853009994262e-20	0.0571410650300282	0.14824330769002	1054	200	FALSE	FALSE	4.54427389461604e-20
COL18A1	detect	basement_membrane	Pericytes - Ambient reference	0.373329129097082	0.0227034806829953	949.897205996502	16.4436957623287	2.35124600723059e-53	0.0571410650300282	0.14824330769002	1054	200	TRUE	FALSE	8.54998548083852e-53
LAMA1	detect	basement_membrane	Fibroblasts - Ambient reference	0.00491031523287016	0.00202924606091595	943.71028160126	2.41977319924118	0.0314365026488092	0.0141155248211378	0.0282310815340568	1054	200	FALSE	FALSE	0.0419153368650789
LAMA1	detect	basement_membrane	Pericytes - Ambient reference	0.00570282828221409	0.00434360815282392	930.630274344989	1.31292420530763	0.189532142366082	0.0141155248211378	0.0282310815340568	1054	200	TRUE	FALSE	0.236915177957602
LAMA2	detect	basement_membrane	Fibroblasts - Ambient reference	0.509969198794547	0.0101714449789553	979.748538726308	50.1373403532802	1.97848472548725e-272	0.101963673549476	0.143229918811397	1054	200	FALSE	FALSE	3.9569694509745e-271
LAMA2	detect	basement_membrane	Pericytes - Ambient reference	0.335846981321695	0.0218030096757316	978.468070313376	15.4036982194948	4.23973290949037e-48	0.101963673549476	0.143229918811397	1054	200	TRUE	FALSE	1.41324430316346e-47
LAMA3	detect	basement_membrane	Fibroblasts - Ambient reference	0.0139813962204269	0.00378414912606496	948.478973759859	3.69472654344513	0.000465433646843149	0.0427171522127673	0.052720026994405	1054	200	FALSE	FALSE	0.000664905209775927
LAMA3	detect	basement_membrane	Pericytes - Ambient reference	0.000508503007065197	0.00810284263836304	938.307663450754	0.0627561251970612	0.949974069467244	0.0427171522127673	0.052720026994405	1054	200	TRUE	FALSE	0.949974069467244
LAMA4	detect	basement_membrane	Fibroblasts - Ambient reference	0.3482735924169	0.0105921402019984	951.131926081988	32.8803797698215	1.09360318605108e-158	0.0548153526716936	0.14773652434397	1054	200	FALSE	FALSE	1.09360318605108e-157
LAMA4	detect	basement_membrane	Pericytes - Ambient reference	0.22728149266761	0.02268365642611	937.863162052483	10.0196144923972	1.61630409777675e-22	0.0548153526716936	0.14773652434397	1054	200	TRUE	FALSE	3.80306846535706e-22
