from	to	family	partial_rho	n_donors	dropped_dataset
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.177753496503497	65	Meyer_2019
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.320585664335664	65	Meyer_2019
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0382339473776901	88	Meyer_2019
AGT_source_index	Peri_AT1R_response	allowed	0.28475425218049	78	Meyer_2021_3prime
processing_index	Peri_AT1R_response	allowed	0.296085862161611	78	Meyer_2021_3prime
Peri_AGTR1	Peri_AT1R_response	allowed	0.0164347922257049	78	Meyer_2021_3prime
Peri_ACE2	Peri_AT1R_response	allowed	0.29006120772085	78	Meyer_2021_3prime
Peri_AT1R_response	contractile	allowed	0.240093691662851	88	Meyer_2021_3prime
Peri_AT1R_response	inflammatory	allowed	0.246292839280054	88	Meyer_2021_3prime
Peri_AT1R_response	activated_migratory	allowed	0.528723891374027	88	Meyer_2021_3prime
Peri_AT1R_response	BM_minus_FIB	allowed	-0.532756859568173	88	Meyer_2021_3prime
BM_minus_FIB	EC_readout	allowed	0.13515753393707	83	Meyer_2021_3prime
Peri_AT1R_response	EC_readout	allowed	0.326067104034584	83	Meyer_2021_3prime
AGT_source_index	BM_minus_FIB	forbidden	-0.0724708704330686	81	Meyer_2021_3prime
processing_index	EC_readout	forbidden	0.0601222964867958	82	Meyer_2021_3prime
Mast_CMA1	BM_minus_FIB	forbidden	-0.135659386769282	65	Meyer_2021_3prime
VSMC_AGT	Peri_AGTR1	forbidden	0.0161887141535615	93	Meyer_2021_3prime
AGT_source_index	Peri_AGTR1	forbidden	-0.145130222463375	96	Meyer_2021_3prime
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.147764227642276	81	Meyer_2021_3prime
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0666840804954234	82	Meyer_2021_3prime
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.243869132290185	75	Meyer_2021_3prime
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.249615931721195	75	Meyer_2021_3prime
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.298644053566181	83	Meyer_2021_3prime
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.343280983010633	82	Meyer_2021_3prime
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.189095172952902	85	Meyer_2021_3prime
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.184090909090909	65	Meyer_2021_3prime
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.327666083916084	65	Meyer_2021_3prime
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0204994540523405	88	Meyer_2021_3prime
